Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
11,202498.13038289893,198356.07223765625,199687.0063321169,200941.47767983508,202174.6069167103,203406.05853275151,201822.5250368515,202968.33317250435,204019.85390508568,205018.76998001343,206063.95757398393,208601.75581646457,209445.29049859234,210249.42537740516,211031.91185231737,211177.9923336605,213000.45273501615,213715.9961807393,214261.1439515219,215029.2194053711,215834.57210682277,215656.73687943394,216706.35810307422,217687.27749600256,218460.14962421398,219056.75955527407,215010.60592664592,215464.93956361563,215908.56145319578,216348.10702715695,216749.28944928796,209671.98796726268,210189.95058559606,210698.8730111352,211172.35408216208,211669.39251357215,210699.26198247093,211080.1861059267,211474.51048913572,211837.00763401037,212213.8757402752
12,64933.14272049484,61504.19635115144,62711.99060988177,63884.38138661272,65023.689510776465,66075.80188678076,62223.23376721574,63116.581098737035,63856.71781201126,64515.595625342896,65124.93304751386,61908.934955438046,62393.55183545464,62842.97252343913,63260.09376806875,63060.81859781019,58951.21773652528,59271.03095664272,59566.49941533439,59854.81649382274,60137.98162744377,56873.34110668378,57293.37644590781,57675.90101305997,57952.28751313443,58137.17753042912,55626.80980496169,55768.9386500495,55880.361033373876,55958.06216233064,55988.095058114144,59353.0257391116,59433.73394465257,59501.657006124944,59557.81100087772,59592.99317543049,53591.549001254665,53561.26312943906,53513.66875382097,53457.22689516216,53384.3109059095
13,43703.00827397801,40265.26529242795,41215.669210694025,42148.45861938201,43087.36314161353,44020.31614492237,40906.40520470345,41712.06487260263,42510.46712224044,43306.891421490654,44100.5009396846,41539.16829894024,42284.02676827928,43004.04059845106,43715.55135962603,44429.292547620156,43062.83466256949,43742.52181941803,44416.884141202696,45091.28924065054,45759.96499328233,43747.664064966426,44360.383564999705,44966.174338447905,45561.82724666682,46146.809371708696,44066.034391305184,44597.883279742084,45120.0419663626,45633.57643958674,46128.113983005314,47335.494465962634,47768.78349856663,48184.620974669684,48594.884550328316,48987.46252786495,47104.28515659322,47441.64825427663,47761.82870655899,48071.9738481086,48362.77591855166
14,15924.840398042335,16623.456891283276,16803.50002908117,17143.20279733017,16864.317232392514,17095.37560763525,16344.820232341228,16420.220412403014,16472.832454281262,16420.257982769774,16359.122119904161,15195.099166828224,15020.040485108655,14811.822188080447,14620.63680165306,18274.788283595346,18090.978944537088,18633.12960855196,19062.88839253465,19464.17011974982,19848.60302588332,18798.71125056484,19206.844222862157,19584.04370930476,19882.52232065338,20119.841856270952,19197.09310256034,19364.92688806774,19515.571515623666,19637.863270744238,19699.877720826185,20115.084537039627,20289.744682988443,20464.538596293438,20634.980611377607,20802.561795408506,21327.29032897831,21492.697240897753,21651.069745686946,21804.828863335588,21952.45188242068
15,18852.79449966525,19215.52172349895,20149.02281216411,21156.676953847367,22255.403896120282,23431.015764876247,20930.278246829235,21818.138750166057,22748.87240880474,23729.283360681533,24759.115091498825,21873.77598157115,22661.50057929228,23498.12677994674,24372.189557877384,24689.95851008249,22014.028377788323,22641.444511466514,23369.613577480053,24130.890744606662,24921.82513081809,22450.952688927042,23154.925376688137,23855.774133104438,24536.200812901603,25194.353982196342,22368.129219145434,22877.35391076631,23387.62401143124,23908.666842431827,24387.05505814712,22457.210546453447,22834.215028175804,23207.608172543587,23578.4532466815,23947.90076845385,23228.09422765358,23579.718655230885,23922.513791484154,24266.869784202903,24606.854074337
16,67662.1785684841,62747.82996680296,64025.71031983475,65575.48896176228,67199.25893647534,68841.88948960938,65981.11997045719,67347.59796204364,68675.53826639465,70021.5303711638,71369.80668195368,64508.69435167951,65676.37862072035,66884.5399134485,68067.99746461406,69158.46422417482,62623.35702407466,63421.06450200259,64391.030795250736,65358.80293435373,66314.06709195992,59477.12877437997,60289.236848682354,61089.85673283289,61877.45356546205,62643.66727570049,57718.276111905616,58398.05051653264,59060.169535306915,59761.54204391941,60385.979250070464,59891.39795329614,60393.70714009666,60883.43087228,61355.91768286942,61827.93323858111,66404.31855527927,66854.8781393854,67294.9053595301,67723.86765874998,68135.13013254311
17,163880.43330785664,157401.92500524322,160033.2252530702,162625.7034884357,165247.41594296898,167872.5385940478,165959.36732667277,168571.71271298657,171668.66590101962,175060.10190985454,178533.23199354336,168013.24440939914,171449.21512029218,175163.99961612446,178921.1486275959,180681.5279930807,172724.46100952584,176212.25643665908,179963.34080035723,183774.95935116196,187532.87296479373,179661.6431991274,183264.99830723618,186945.88046127607,190768.62820068307,194667.25723728427,186328.52746894478,189853.49471891008,193607.6439403064,197860.52579473224,201607.09368053978,205328.0486579618,208599.10693333647,211839.95843716318,215124.68836524547,218359.61058338598,211820.08913953564,214817.60869814572,217823.84357337482,220806.4611023714,223737.45850178887
18,329058.141365642,327925.3506009836,345557.680457984,364363.31742928183,384351.60950655583,405514.9905903933,386536.84681981086,405414.73224464466,425334.46287212474,446170.55129797483,468064.8619680086,465956.14688096184,487288.90541409794,509551.06638835906,532982.7537500217,552498.4142186528,546685.6262911164,569873.157550886,594133.3521234981,619404.2401241959,645709.0512578953,626904.342604133,651649.7378145003,677146.3846913181,703384.6952544218,730310.5246929572,707308.7037085901,732341.32731839,757985.1927067691,784204.6058850192,810761.977248492,805812.4824552608,830787.0822006924,855965.3910787986,881308.5647779367,906754.2692340863,878686.158169698,901425.1394868735,924135.3816969588,946586.5898255093,968857.8794858423
19,44003.55079037234,40298.68742571341,40810.72243967514,41224.31411770318,41619.61373433258,41980.969425650415,37064.10624065303,37354.347877163564,37705.8083839651,38040.18665223791,38360.619597321485,34108.201483901204,34356.24876565487,34578.11879511067,34786.28175183555,34667.85279416881,30894.868505099388,31026.346425258496,31153.240176277293,31267.34421552094,31371.799668834137,28023.757141256185,28074.964305961275,28127.90941536281,28165.366297448065,28193.459282887787,25268.708838874536,25261.71497138905,25247.010159436955,25238.894723640078,25153.49152232102,26947.922938719206,26841.829304554987,26727.5243120807,26604.06268657777,26472.90660771192,24534.474370033568,24425.65474596779,24309.510157355973,24179.853648735916,24048.034057325924
20,1201142.4463340782,1149983.0579259454,1162887.3502434469,1185855.010122871,1215355.446660581,1248872.6199656113,1155529.237629394,1183514.0910783235,1210591.6572459126,1236357.5588434115,1260817.7300924386,1189091.9580152647,1206058.491340301,1221443.7689137182,1235380.4896340538,1241395.6561973619,1164479.2622143342,1172301.1387183573,1178707.9764756674,1183972.1858356416,1188132.2430019432,1141799.7132672765,1143426.124303095,1144363.7290045682,1143927.0849010723,1142606.287849595,1069975.3634406822,1066821.783675075,1062932.4154292417,1057672.3190660018,1053521.8588418474,989801.4044045631,983866.1959005197,977460.8488536587,970715.0114089848,963543.136436111,935639.4808408566,927822.4018400979,919726.2200262817,911396.2133078679,902848.1528180212
21,141811.06149487442,136458.67905700236,140426.46550744103,144653.7852033102,148929.4294476651,153239.39239591057,145652.20313839288,149290.9208155862,153613.42947030716,158110.25679727734,162743.33942893127,154037.8671672257,158280.4582676893,162648.99462902144,166821.40026465617,170244.35298538464,165905.60056061108,170232.91363020558,174818.7840371116,179562.8773683032,184448.57845373635,178726.24340519638,183543.3492907753,188479.86795435095,193448.11052601368,198460.95431136095,192775.96940879858,197525.7796889488,202344.28835221875,207283.37092224965,212296.36291833513,198217.87082267503,201778.89480856777,205323.21154720234,208825.17252169186,212283.14359800617,207588.24385651058,210753.49164053443,213882.5789879865,216933.10735647572,219923.9022827076
22,37746.86461005325,36119.518588844534,37832.34829518478,39706.43064304148,41679.35279291786,43754.35074955374,40648.55234009923,42362.955192655616,44160.85799278247,46027.59959336374,48038.22521078147,43718.40000524914,45409.525127904686,47171.13653690007,49000.752001985835,51442.74887175068,48189.488169575445,49998.83838539941,51893.38386813819,53883.012439566075,55961.49361186221,52074.81263869853,53963.80839033706,56007.314296506804,58041.65790260227,60160.477782763315,56756.52380821284,58714.26816754345,60736.00924210702,62906.55535981129,65549.85185200887,70154.4533416562,72089.10938269839,74015.0782598915,75949.99930995026,77879.01005223086,74767.64705998775,76435.8805614375,78068.81913305237,79665.01844038138,81229.02365041198
23,48200.43909726296,48372.67548999911,48470.31668388635,48548.22674220764,48618.12427113714,48676.359666343145,47125.74361573095,47158.23832435032,47215.96652283173,47258.74157251444,47298.18997196762,44769.213810985224,44822.473861976534,44861.837671397676,44895.26501730776,44512.9971196919,43303.743771037676,43344.513652725014,43376.01462093056,43400.73825843164,43417.875655015414,43285.54619548814,43270.64498877274,43247.26788208757,43217.344362736505,43179.84844356347,42979.68174072412,42961.41686799631,42898.55930479217,42829.513488051016,42737.719397935674,42519.1722519893,42426.33127443013,42322.891618238624,42210.94140266655,42096.36118655961,42123.58180989406,41980.2018086137,41830.67277827804,41676.35705771819,41515.77519732171
24,20967.238514036188,19635.65706676109,19950.428318233688,20215.670934332724,20476.174576912563,20724.503548047254,19702.454585905052,19935.120407593975,20139.374641227492,20351.069865043908,20548.161656456326,19915.618911727488,20109.685422943083,20320.252947705292,20526.25673857905,20918.110443697937,20681.45371932637,20892.55556394592,21106.70589241724,21322.12663078159,21535.116825090423,21569.025689347392,21775.97121666526,21988.79086531695,22190.555299187246,22390.86883973918,22018.16078198721,22216.630863931,22414.148958591573,22618.73648047799,22858.576964289794,22826.672189140452,23002.375636763893,23177.69756576452,23350.93166059529,23525.549471171056,23297.41382589136,23465.72816143296,23634.314999018996,23802.737828437876,23968.605720532913
25,89493.0822217041,91612.15277102444,93942.45651931387,96359.361991694,98868.22321367974,101456.89224073826,100228.71754329505,102857.39202225559,105626.08728029829,108499.86861867615,111626.44817533654,110641.22277599547,113714.92316229412,116913.96629524296,120245.4299844688,123116.38711239345,124438.85927361283,128060.17737496224,131822.7153514685,135716.42687076356,139744.12554712323,139306.06254263446,143440.32852254866,147701.28320712975,152157.45230838805,156780.65291189018,155499.65653990532,160174.95240893879,164989.10085378005,169940.67335443947,174996.5128105063,184944.62646629833,191159.05448317013,197571.21413096352,204241.71576995513,211110.0960350569,210977.05458863373,217966.13992953976,225211.72802337166,232658.85410518784,240322.16855251053
26,29247.42125586473,28401.525599247645,29102.208819999843,29827.719186507187,30574.568703891673,31350.316577353246,31756.1296136156,32530.27897781167,33332.616334246086,34156.45680205038,35007.17027451512,35503.748935078314,36410.82665303627,37317.10389501881,38252.9164129754,39310.81890234343,42434.04227608952,43694.22200071854,44996.99970332725,46352.43836989357,47758.2568680158,51400.28719573994,53188.36947611262,55051.55720961875,56996.32949413427,59023.76473835104,62796.53571356711,65234.81996581673,67784.51628523249,70446.86655807232,73215.6586046089,80857.27813358506,84584.6792748026,88491.80661098725,92597.50137761114,96910.52980390182,101847.50218294185,106667.06525811335,111719.65955293427,116986.08325972858,122491.88418563103
