,flow,type,area,material,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
11,inflow,detached,rural,steel,1363.251206,1426.684117,1383.255718,1337.862758,1289.028511,1229.543525,1538.637971,1514.077824,1487.00742,1459.172911,1430.142167,1359.452715,1330.124927,1298.294143,1265.719562,1232.961589,1581.582704,1552.130699,1521.260116,1489.860085,1455.191077,1428.157677,1393.995863,1359.236479,1325.184193,1291.314212,1562.404505,1537.54952,1510.696641,1479.154542,1443.560956,1353.450522,1315.96776,1277.865586,1239.389198,1199.944,1312.910329,1279.814796,1246.188533,1211.727959,1177.038679,1231.135042,1196.224429,1160.847224,1125.050546,1088.881946
12,inflow,detached,rural,steel,374.4937659,528.0968065,536.3201302,541.9466987,545.2463924,550.0011552,599.4587741,600.4238969,599.8453016,598.1036181,594.4233049,515.2713392,510.6032244,503.0224919,494.1206001,484.4263203,531.4673989,524.1212335,516.3279914,508.1881792,499.8603733,432.0986561,424.00727,416.0237211,407.932535,399.9964721,443.8995584,441.1306077,437.7782485,432.7012705,426.197356,389.7968288,383.386358,376.5761714,369.3585856,361.5790494,857.1379344,853.574616,849.709091,845.7572858,841.5829199,333.3477194,327.5538602,321.7506464,315.8573685,309.9396915
13,inflow,detached,rural,steel,716.5820831,675.4281329,678.4892065,680.9949482,682.9461646,684.3123153,612.3553572,612.7929445,612.786758,612.3541053,611.4805337,537.8177008,536.3815932,534.6016782,532.4405914,529.9543289,490.076325,488.0801483,485.8171724,483.2387561,480.4002316,443.0518991,439.9928817,436.701531,433.1133158,429.2947857,408.3126078,405.1881885,401.8451335,398.2618377,394.4911089,352.6943067,349.1746922,345.4393827,341.5508904,337.4444892,364.9226665,360.3486124,355.6442426,350.7372996,345.6831502,304.1796347,299.3234022,294.3219455,289.2274853,283.9431515
14,inflow,detached,rural,steel,119.0385587,135.0071899,158.18113,170.4030646,182.4866705,202.3822655,234.8977141,230.7724607,230.0516407,214.8622352,211.6094087,188.6115436,182.5507365,176.1130033,167.5286007,159.050791,153.33699,144.2329372,134.6201443,125.7159079,198.2198616,191.9661611,195.3833754,196.3318423,196.4492823,196.0313211,196.9599851,198.1618018,198.569249,197.2132946,194.5292189,176.0307026,172.5232516,168.6450231,164.2136433,158.734877,169.3066686,165.8889253,162.359695,158.8069732,155.1848408,143.4000487,139.3973442,135.3388955,131.22908,127.1160659
15,inflow,detached,rural,steel,469.0819737,446.6199365,451.8542147,459.047318,465.3565124,474.2629993,490.157885,504.3068803,519.2204469,535.2402871,551.8148647,457.5151148,466.7973678,476.1969033,486.0182515,495.8706122,435.1980543,441.3636728,448.5100878,455.8103726,462.7641651,377.6805517,379.6903954,384.4954848,389.6066499,394.9761125,357.6976427,364.1159374,369.9769611,374.3178,377.3183984,304.0977583,305.1970898,306.0921262,307.0632474,306.9227292,575.4305391,580.3665964,585.4854498,590.5485608,595.7115409,289.0814683,289.8541041,290.330363,290.6655129,290.9314547
16,inflow,detached,rural,steel,621.8619381,562.9647876,555.5129259,555.0663514,558.2051836,566.8561453,556.9178816,552.0078877,550.7070407,549.8912791,548.871108,486.1300116,482.4161746,478.1647563,474.1610551,470.1787856,456.1874021,455.1321086,454.7804603,454.0733902,452.7432174,362.7625416,357.5428368,355.0673767,352.22411,348.9254723,345.0917267,343.0022394,340.6203472,337.880982,334.6593118,274.503057,270.9515419,267.06339,263.7093573,258.9424558,344.883466,341.0711967,337.1089594,333.0797401,328.8564289,327.7170769,322.2660624,316.6095296,310.7518507,304.6974399
17,inflow,detached,rural,steel,5940.369308,5775.261391,5657.323828,5503.10529,5351.551274,5236.206588,5224.855687,5166.858882,5106.260512,5044.548798,4979.76267,4722.251747,4657.918417,4614.737172,4581.87164,4546.999242,4363.821586,4357.774601,4359.963372,4359.383433,4312.513977,3903.566002,3896.877263,3898.958892,3898.20715,3889.886523,3926.62108,3933.411151,3940.600324,3950.227014,3959.579609,3603.000897,3602.495426,3609.779902,3636.209204,3637.090763,6191.694799,6244.744843,6297.154747,6349.802868,6401.357358,3941.488827,3931.772988,3920.180086,3906.733506,3891.444734
18,inflow,detached,rural,steel,4970.389043,5376.357416,5627.378766,5887.182356,6162.093701,6478.014244,6291.81256,6557.23752,6834.832975,7122.592147,7418.787965,6802.475273,7035.675497,7277.151606,7521.618137,7770.406892,7680.866106,7916.703944,8158.39248,8408.112951,8693.686309,8372.127989,8592.693098,8820.979551,9051.839099,9285.719998,8814.266713,9020.100718,9224.748072,9427.10787,9625.364751,8967.352411,9128.259912,9285.409337,9438.050739,9581.79154,9543.39562,9661.900387,9771.613461,9871.581686,9959.133117,9206.158911,9252.129644,9286.19835,9304.66098,9312.990499
19,inflow,detached,rural,steel,346.3886937,326.8734188,320.7670463,313.2464312,305.1194907,294.1167407,292.6738828,284.4387085,275.5187472,266.3752195,256.8633369,194.3519847,186.3292851,179.1577077,171.8149387,164.4287985,166.8562431,161.5728725,156.1873309,150.8681864,144.1347962,101.7653884,96.98757355,92.32136386,87.65501084,83.05179131,98.70452094,95.30219315,91.91998297,88.51599802,85.13212788,57.42911127,54.80045349,52.22626709,49.69229791,46.78270808,101.1056839,98.29042941,95.47752565,92.6432385,89.86070971,62.60818313,60.39478955,58.19192591,55.97779995,53.75411526
20,inflow,detached,rural,steel,27478.48994,22924.73102,20731.58718,19117.11864,17975.36939,17271.77714,17906.99253,17718.83629,17722.33103,17839.54602,18015.42449,16766.5778,16953.32626,17107.89381,17224.5451,17303.31117,18054.26347,18073.52712,18058.48243,18012.10124,17928.75471,16759.42888,16633.54627,16481.34632,16306.05799,16110.26058,16711.63669,16496.82661,16267.56114,16025.52555,15772.39724,14730.11618,14468.05802,14198.89979,13919.73671,13640.50568,13474.20283,13200.37812,12927.25195,12656.21316,12383.92064,12264.29924,11997.72684,11733.9434,11473.22286,11216.46792
21,inflow,detached,rural,steel,3203.776801,3397.980662,3485.27544,3568.563783,3649.733366,3713.223881,3508.182475,3538.669457,3573.237192,3603.412884,3628.562075,3288.01907,3292.928548,3315.945677,3339.455245,3361.380117,3133.542145,3152.778338,3170.384235,3173.797777,3205.028038,2975.605069,2984.269138,2997.369593,3009.538209,3020.722628,2958.451822,2975.25676,2991.988785,3004.489095,3013.917104,2785.556249,2790.529265,2793.599443,2796.378862,2801.001546,3257.956309,3258.26946,3257.63615,3254.271738,3250.0418,2501.059103,2480.280276,2457.905059,2433.535937,2407.224884
22,inflow,detached,rural,steel,1375.460308,1475.050422,1544.128864,1607.464959,1666.972235,1710.636389,1606.339517,1643.802125,1680.668531,1716.380628,1750.971148,1492.111417,1508.782896,1525.537579,1546.087656,1565.077888,1401.122138,1415.373845,1429.46125,1443.129753,1447.619288,1192.192091,1198.695962,1206.519875,1214.64858,1222.627477,1141.907625,1152.023264,1168.105884,1178.586125,1190.026942,1013.609833,1025.931933,1039.022444,1058.194747,1106.033961,1401.416527,1397.544837,1391.812469,1384.828021,1375.916489,1284.419442,1273.653516,1261.85145,1248.597716,1233.725616
